Date,01-01-2017,01-02-2017,01-03-2017,01-04-2017,01-05-2017,01-06-2017,01-07-2017,01-08-2017,01-09-2017,01-10-2017,01-11-2017,01-12-2017,01-01-2018,01-02-2018,01-03-2018,01-04-2018,01-05-2018,01-06-2018,01-07-2018,01-08-2018,01-09-2018,01-10-2018,01-11-2018,01-12-2018,01-01-2019,01-02-2019,01-03-2019,01-04-2019,01-05-2019,01-06-2019,01-07-2019,01-08-2019,01-09-2019,01-10-2019,01-11-2019,01-12-2019,01-01-2020,01-02-2020,01-03-2020,01-04-2020,01-05-2020,01-06-2020,01-07-2020,01-08-2020,01-09-2020,01-10-2020,01-11-2020,01-12-2020,01-01-2021,01-02-2021,01-03-2021,01-04-2021,01-05-2021,01-06-2021,01-07-2021,01-08-2021,01-09-2021,01-10-2021,01-11-2021,01-12-2021
ACC,1413.5,1411.5,1446.05,1626.55,1637.05,1568.05,1733.2,1800.25,1656.9,1809.5,1667.9,1758.4,1715.25,1623.05,1507.5,1587.15,1354.6,1339.9,1529.75,1638.75,1552.35,1374.8,1485.5,1508.1,1423.35,1422.3,1666.3,1632.05,1686,1562.15,1560.4,1519.85,1608.15,1568.05,1522.15,1445.65,1504.6,1320.85,968.5,1179.1,1270.2,1332.25,1425.45,1321.8,1393.45,1649,1705.05,1617.65,1603.85,1733.2,1903.25,1882.75,1986.05,2014.8,2394.1,2413.2,2254.5,2333.4,2286.4,2262.2
Adani Enterprises Limited,47.48814,53.67277,59.14903,59.36699,63.64446,72.2539,75.14188,72.22665,63.37201,72.09043,79.88252,90.64432,116.1729,110.9146,85.22255,89.89113,77.63616,72.59944,125.4049,144.5252,130.6,170,165,161,137.15,128.85,146.75,127.05,154.75,150.5,128.8,137.35,145.85,199.65,214.9,208.35,229.45,218.65,137.6,141.4,148.35,156.25,175.25,279.55,297.1,339.7,398.4,479.55,506.65,833.65,1031.15,1158.7,1316.3,1507.55,1420.25,1587.6,1468.1,1423.6,1662.85,1708.1
Adani Green Energy Limited,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,60.4,57.4,40.85,39.65,46.75,41.85,35.6,33.05,37.15,40.05,43.3,44.4,46.8,46.4,58.25,89.7,137.1,166.45,189.45,154.95,153.25,210.45,248.6,358.85,340.65,452.75,737.6,856.4,1136.4,1052.6,1004.9,1159.85,1104.85,1018.95,1268.2,1124.9,882.3,1068.35,1146.6,1152.85,1295.4,1389.65
Adani Ports and Special Economic Zone Limited,293.35,301.75,339.6,327.7,339,363.05,395.9,392.95,376.75,430.35,398,405.65,428.85,408.35,354.1,407.3,392.15,373.15,399.75,383.15,328.9,318.85,365.65,387.7,338.65,325.85,378.15,392.8,416.4,410.2,377.55,365.7,413.95,395.8,382.05,366,369.4,342.2,251.3,290.1,323.8,343.9,315.2,355.75,341.75,359.85,411.55,483.75,509.7,675.9,702.4,730.05,769.55,703.7,674.5,748.3,737.9,693,683.85,737.45
Adani Transmission Limited,63.35,61.95,64.35,78,120.45,123.9,124.65,126.75,152.45,207.45,183.4,223.5,209.25,202.65,191.25,168.95,135.85,155.95,169.5,227.9,160.25,166.65,226.45,198.9,212.25,203.55,217.9,217.05,235.6,224.35,206.95,234.5,228.6,273.7,309.7,331.9,331.95,253.05,188.75,206.7,174.9,259.7,235.4,253.7,242.3,290.3,377.15,437.7,461,749.6,908.35,1049.85,1474.55,1062.95,903.75,1580.1,1552.35,1786.85,1807.75,1862.05
Ambuja Cements Limited,229.05,229.35,236.65,245.9,241.25,246.55,263.15,280.35,266.45,281.5,262.5,272.05,261.8,252.35,232.95,250.65,205.4,207.45,230.7,241.35,223.55,197.15,217.45,225.1,209.9,212.05,235.3,220.5,230.6,212.85,201.9,202.35,203.95,202.3,204.65,196.25,204.5,205.05,155.7,171.65,191.55,193.6,220.1,210.55,217,259.7,261.05,248.85,243.35,273.5,308.85,309.05,326.8,340.65,411.15,421.05,400.2,404.8,374.6,376.6
Apollo Hospitals Enterprise Limited,1230.05,1301.65,1165.15,1233.25,1211.1,1274.55,1259,1082.6,1005,1038.55,1106.3,1204.8,1162.8,1203.05,1064.65,1091,950.35,1047.45,951.9,1182.7,1042.25,1141.05,1264.8,1258.3,1325.65,1140.9,1227.6,1216.5,1238.8,1359.2,1351.6,1508.15,1395.5,1484.8,1441.2,1442,1660.2,1735.8,1139.05,1394.35,1356.95,1349.85,1674.6,1634.55,2148.05,2119.45,2347.9,2412.8,2561.25,3058.65,2902.65,3197.5,3168.75,3619.85,4035,4969.55,4481.6,4262.05,5687.75,5432.4
Asian Paints Limited,970.7,1024.2,1073.5,1120.45,1151.2,1102.95,1161.7,1168.55,1131.7,1180.85,1146.75,1158.5,1128.3,1117.75,1120.4,1201.7,1304.65,1264.45,1451.4,1372.45,1293.3,1230.4,1345.95,1373.05,1412.6,1405.2,1492.7,1463.15,1407.3,1358.15,1521.1,1616.2,1762.15,1809.6,1706.15,1784.95,1795.65,1797.95,1666.5,1758.7,1683.1,1687.45,1715.5,1899.1,1986.4,2211.5,2215.3,2764.5,2407.35,2277.2,2537.4,2536.4,2977.5,2992.7,2958.45,3201.35,3244.65,3100.1,3143.65,3110.45
Aurobindo Pharma Limited,681.8,677.2,675.2,606.75,574.15,684.6,718.6,725.25,691.65,760,692.85,687.95,629.55,613.9,557.85,642,556.3,607.1,591.55,712.75,744.45,791.55,810.7,732.95,787.8,712.05,784.25,819.05,672.4,608.05,571.25,600.7,589,469.85,449.9,456.85,481.4,505.5,413.15,625.85,745.65,771.7,874.6,808.9,796.5,772.65,868.55,921.3,905.25,855.2,881.3,980.85,997.95,965.2,916.6,727.3,724.8,689.35,660.25,674.15
Avenue Supermarts Limited,0,0,0,736.5,745.15,815.1,919.7,1039.8,1078.45,1140.6,1118.1,1181.35,1179.65,1348.15,1324.8,1490.65,1572.15,1485.4,1654.9,1604.5,1395.95,1337.95,1492.5,1606.65,1374.85,1455.8,1471.1,1295.5,1323.1,1397.9,1482.7,1571.15,1860.6,1994.65,1822.5,1838.35,2133.95,2323.95,2187.5,2383.65,2269.35,2317.15,2063.45,2251.25,2203.15,2239.9,2289.2,2763.6,2651.5,2994.2,2859.05,2852.9,3069.4,3344.1,3500.8,3954.8,4250.2,4635.45,4710.9,4799.05
Axis Bank Limited,466,506.65,490.8,509.65,514.05,517.35,519.8,500.35,509.15,523.15,535.4,563.95,593.6,528.75,510.5,517.3,545.9,510.8,550.4,649.25,613.25,582.4,625.75,619.9,722.7,709.55,777.25,766.85,808.3,808.55,674.1,663.9,685,736.35,739.05,754.1,729.3,697.3,379,444.9,384.95,406.65,431.65,496.75,424.65,492.5,601.6,620.45,662.9,724.8,697.45,714.9,750.7,748.3,708.9,786.5,766.55,742,655.65,673
Bajaj Auto Limited,2833.45,2755.9,2805.45,2864,2845.95,2791.2,2808.55,2814.5,3109.4,3257.1,3305.5,3333.6,3337.15,3020.6,2744.7,2952.6,2750.3,2810.3,2700.05,2744.85,2687.45,2593.7,2745.7,2720.15,2554.55,2900.6,2911.1,2984.1,2925.9,2827.05,2516.5,2788.3,2941.8,3247.35,3176,3185,3180.05,2890,2022.35,2623.3,2710.5,2826.05,3004.95,2967,2881.1,2886.9,3173.55,3444.05,4005.8,3798.7,3670.6,3833.75,4192.8,4133.85,3829.6,3727.85,3832.65,3707.25,3240.3,3287.85
Bajaj Finance Limited,1036.9,1108.2,1171.1,1276.2,1326.95,1373.1,1703.1,1781.9,1838.05,1800.6,1727.05,1756.7,1677.85,1640.25,1767.55,1907.7,2109.9,2296.35,2697.9,2856.6,2168,2382.55,2537.7,2645.15,2574.85,2649,3025,3095.95,3467.1,3681.1,3252.05,3332.5,4046.05,4027.55,4074.2,4234.75,4365.9,4465.85,2215.8,2318.1,1953.65,2831,3251.3,3487.8,3278.6,3309,4908.8,5295.2,4734.55,5264.9,5149.85,5451.9,5627.95,6015.85,6228.1,7524.5,7668.1,7400.2,6997.25,7069.25
Bajaj Finserv Ltd.,3245.85,3914.15,4098.4,4575.65,4192,4118.7,4991.85,5502.85,5154.45,5010.35,5214.1,5230.4,4812.35,5051.7,5171.55,5482.6,6042.25,5821.1,6977.3,6747.8,6006.2,5404.65,5994.35,6476.95,6091.9,6462.45,7037.05,7520.45,8187.95,8524.65,7097.85,7119.55,8513,8134.35,9110.25,9393.35,9441.4,9050.75,4591.2,5104.35,4404.9,5845.15,6205.9,6190.35,5852.35,5573.5,8758.8,8906.35,8722.75,9648.6,9668.6,11041.65,11806.3,12109.05,14222.2,17148.75,17786.75,17821.15,17237.35,17488.7
Bajaj Holdings & Investment Limited,1999.3,2064.05,2171.6,2109,2058.7,2111.55,2406.05,2915.9,2794,2980.1,2851.95,2882.75,2814.85,2728.1,2623.95,2704.8,2759.25,2888.1,2916.4,3124.8,3087.45,2778.9,2993.2,2950.05,2847.25,3165,3418.05,3100.05,3511.25,3607.25,3398.1,3251.75,3592.05,3666.15,3568.3,3410.75,3456.5,3381,1799.55,2039.8,2003.35,2548.3,2658.3,2679.35,2412.6,2306.05,3064.05,3079.5,3249.85,3631.25,3292.35,3421,3550.15,3611,4027.35,4349.65,4815.6,4834.5,5041.15,5424.25
Bandhan Bank Limited,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,513.45,470.5,526.55,701.35,694.8,565.25,390.25,483.65,550.15,403.95,480.05,526.25,599.45,591.7,538.75,480.75,469.6,491.9,612.3,581.2,508.25,450.35,383.5,203.75,262.35,218.15,319.3,345.1,305.8,273,289.45,367,402.25,309.45,345.25,338.9,329.75,307.4,330.25,291.25,285,283,291.45,272.45,277.3
Bank of Baroda,165.15,165.3,172.95,187.55,178.05,161.65,166.05,137.85,137.6,169.9,169.1,160.65,156.8,141.95,142.3,148.95,136.85,112.65,153.35,152.95,99.5,110.65,105.05,118.8,112.45,101,128.65,116.65,133.25,121.6,106.7,92.6,93.05,97.2,104.9,101.9,92.7,76.3,53.55,49.2,38.95,48.6,46.8,48.95,41.05,41.7,51.35,61.45,68.05,85.4,74.1,66.75,80.7,85.9,80.3,77.35,81.75,97.5,85.75,88.6
Berger Paints India Limited,211.5,231.8,242.1,261.25,251.75,246.25,247.8,246,245.1,266.05,258.55,273.75,250.35,248.7,256.7,286.6,298.2,281,315.45,334.7,293.05,279.9,319.8,330.3,318.75,304.95,323.75,318.95,330.3,317.5,330.8,369.15,434.8,526.95,496.55,515.55,560.15,566.55,497.95,508.4,491.75,493.9,526.5,537.7,583.7,623.05,647.75,759.45,706.85,679.85,765,704,805.55,805.1,843.55,820.8,809,741.5,751.75,729.95
Bharat Petroleum Corporation Limited,454.4333,446.7,433.2333,479.5,495.1,426.2667,471.15,529,471.3,541.6,503.85,517.7,492.3,429.55,427.45,387.35,403.95,373.3,389.75,362.1,374.15,275.1,324.4,362.75,345.45,337.55,397.55,379.85,409.35,392.45,345.5,355.25,470.1,526.6,511.55,491.55,456.95,426.35,316.9,370,342.8,374,413.8,407.8,353.05,354.45,373,381.1,383.6,449.85,427.95,421.8,472,468.1,445.5,471.65,432.2,417.7,370,385.9
Bharti Airtel Limited,319.7097,335.2728,321.4083,326.4124,341.1492,348.6323,384.6708,392.7049,357.5846,456.5183,455.8297,486.3132,403.8608,393.4854,366.0777,376.04,343.0314,350.6982,358.6405,352.4428,310.8493,268.4294,287.8489,286.9307,281.3299,292.0266,305.8452,320.3,348.8,346.65,337.6,346.8,367.05,374.25,442.45,455.8,496.45,523.5,440.9,514.3,552.6,559.85,554.85,513.1,420.95,433.75,463.25,509.7,553.6,556.3,517.3,536.75,534.9,525.65,561.65,664.05,688.3,685.35,728.25,718.35
Biocon Limited,168.4917,187.075,188.7167,183.95,158.1083,165.525,192.35,168.5,166.075,179.6,216.075,268.65,307.45,315.025,296.95,333.8,332.7,309.775,293.2,312,345.675,329.5,312.175,314.525,324.15,310.725,305.275,296.75,270.95,250.55,226.55,235.6,222.95,246.1,281.65,293.7,294.35,286.9,270.55,353.95,354.7,390.1,409.6,376.15,447.7,403.6,429.35,465.4,371.8,390.2,408.9,379.65,388.2,404.45,386.35,358.85,362.7,351.1,360.4,366.85
Bosch Limited,22130.75,21583.25,22751.25,22991.6,23337.95,23327.25,24178.1,21986.8,20545.1,21012.2,20333.75,20165.55,19400.25,18687.3,18017.55,19404.8,18367.5,17509.95,18720.7,21990.35,19934.1,19746.5,18973.25,19611.2,18851.7,19026.3,18184.85,18018.95,17722.85,16338.65,14438.8,14476.85,14063.7,15305.35,16142.6,15374.6,13885.7,12128.45,9395.55,10612.45,9721.15,11418.1,13078.65,12814,13730.05,11610.15,12816.1,12785.4,15327.5,14854.9,14088.4,13509,15256.5,15025.15,14968.25,13859.2,15474.5,16952.3,16168.5,16500.2
Britannia Industries Limited,1565.225,1614.7,1687,1812.275,1766.325,1845.025,1960.8,2115.475,2172.125,2319.75,2407.8,2354.625,2342.075,2497.125,2485.3,2756.6,2961.975,3106.875,3271.1,3368.375,2911.75,2822.05,3169.75,3115.4,3197.7,3056.9,3085.5,2896.05,2921.95,2743.7,2605,2701.65,2944.15,3266.6,3057.7,3027.8,3200.7,2970.2,2688.95,3165.75,3378.85,3603.8,3823.6,3726.05,3798.15,3473.25,3637.95,3576.35,3501.1,3363.75,3625.05,3449,3447.85,3649.65,3423.4,3997.5,3948.95,3675.75,3545.5,3553.75
Cadila Healthcare Limited,350.55,440.25,442,440.25,464.1,525.15,543.65,500,470.35,503.45,428.75,433.5,425.8,405.1,377.85,412.35,361.3,377.4,381.45,402.75,385.95,360.05,365.3,348.45,318.95,318.7,347.05,325.45,248,241.7,227.8,225.25,233.3,251.75,254.15,254.3,265.55,260.05,267.25,323.95,344.6,353.1,388.4,371.25,395.05,417.7,450.1,476.75,451.5,435.2,440.9,571.15,618.3,645.2,586.1,554.15,551.85,502.8,465.25,460.45
Cholamandalam Investment and Finance Company Limited,205.77,194.74,193.01,222.36,205.57,224.84,239.64,232.57,218.45,230.24,255.75,259.91,257.21,293.99,290.09,348.29,305.74,302.52,286.13,295.23,233.35,254.1,262.8,251.94,234.46,246.22,290.48,277.76,306.54,285.65,259.65,268.7,307.8,305,312.15,305.5,327.55,306.5,152.85,159.45,141.7,189.4,202.5,232.2,249.15,273.25,388.7,387.65,397.85,518.9,558.8,571.75,549.3,513.25,475.75,554.05,564.25,614.75,550.5,567.85
Cipla Limited,575.35,583.7,592.95,557.45,516.35,555.6,560.1,571.9,586.1,627.6,600.9,608.5,592.15,589.65,545.45,607.4,524.8,616.65,641.35,662.15,654.05,629.25,540.85,519.5,517.3,554.55,528.9,565,558.85,553.45,521.1,472.45,425.5,466.85,466.7,478.2,446.9,402.1,422.85,589.6,648.15,640.25,720.15,713.55,774.7,754.5,745.6,819.95,825.9,787.05,815.1,910.35,949.35,971.9,920.05,947.8,983.55,905.05,971.3,912.05
Coal India Limited,309.2,321.9,292.65,276.65,262.55,244.25,249.1,237.4,270.85,286.45,275.8,262.95,299.55,309.15,283.3,285,296.25,264.35,261.1,285.95,266.25,266.15,244.9,240.75,224.65,228.3,237.2,252.15,253.5,253.8,204.45,184.75,199.85,207.55,205.25,211.35,181.7,168.4,140.05,148.5,141.3,132.85,129.25,134.35,116,114.2,125.55,135.45,125.9,152.2,130.35,133.05,147.7,146.65,143.3,145.85,185.1,164.45,152,159.75
Colgate-Palmolive Company,64.58,72.98,73.19,72.04,76.36,74.13,72.2,71.64,72.85,70.45,72.45,75.45,74.24,68.97,71.68,65.23,63.09,64.81,67.01,66.41,66.95,59.55,63.52,59.52,64.68,65.87,68.54,72.79,69.62,71.67,71.74,74.15,73.51,68.6,67.82,68.84,73.78,67.57,66.36,70.27,72.33,73.26,77.2,79.26,77.15,78.89,85.64,85.51,78,75.2,78.83,80.7,83.78,81.35,79.5,77.95,75.58,76.19,75.02,76.77
DLF Limited,134.95,150.45,148.65,186,179.55,190.7,193.35,185.05,164.3,201.35,233.25,259.35,250.1,226.25,201.25,223.1,209.9,188.8,196.3,220.8,162.55,164.75,178.1,177.55,164.85,164.7,202.45,172.75,191.2,188.55,178.15,168.15,155.6,183.3,219.7,230.9,260.45,201.7,137.45,146.85,150.65,148.05,141.15,158.35,152.65,158.3,187.2,232.85,255.45,302.5,287.05,247.3,288.45,281.1,337.65,320.55,417.2,398.6,374.8,386.2
Dabur India Limited,276,276.9,277.35,286.75,279.95,292.1,310,315.1,305,332.85,344.3,349.7,355.6,325.05,328.4,369.4,383.3,391.45,421.55,478.75,426.9,384.75,409.1,430.65,443.65,438.05,408.8,398.1,395.95,400.5,426.45,448.8,447.25,461.95,459.1,458.4,495.75,496.1,450.05,489.3,466.45,465.95,513.55,474.6,510.55,511.45,499.8,534,514.55,503.1,540.5,538.05,540.45,568.75,600.7,621.5,617.05,585.85,594.95,581.35
Divi's Laboratories Limited,699.7,759.5,624.15,627.95,583.4,646.85,671.9,696.8,855.05,881.25,1043.15,1098.2,1036.45,1023.3,1089.5,1196.75,1051.45,1038.35,1146.15,1305.15,1309.5,1484.8,1437.2,1482.2,1505.2,1651.55,1703.2,1742.95,1590.45,1596.85,1634.05,1628.9,1664.75,1756.2,1786.6,1846.1,1953.45,2106,1987.55,2332.85,2395.75,2278.85,2617.45,3109.55,3047.4,3140.35,3607.6,3842.45,3370.5,3368.25,3630.05,4063.2,4193.6,4405.85,4885.8,5171.8,4798.8,5153.55,4880.7,4757.1
